Year,Mean,Uncertainty
1979,336.85,0.11
1980,338.91,0.07
1981,340.11,0.09
1982,340.85,0.03
1983,342.53,0.06
1984,344.07,0.08
1985,345.54,0.07
1986,346.97,0.07
1987,348.68,0.10
1988,351.16,0.07
1989,352.78,0.07
1990,354.05,0.07
1991,355.39,0.07
1992,356.09,0.06
1993,356.83,0.07
1994,358.33,0.08
1995,360.17,0.05
1996,361.93,0.04
1997,363.05,0.05
1998,365.70,0.04
1999,367.80,0.05
2000,368.96,0.06
2001,370.57,0.05
2002,372.59,0.04
2003,375.15,0.04
2004,376.95,0.06
2005,378.98,0.05
2006,381.15,0.05
2007,382.90,0.04
2008,385.02,0.05
2009,386.50,0.04
2010,388.76,0.06
2011,390.63,0.05
2012,392.65,0.06
2013,395.40,0.06
2014,397.34,0.05
2015,399.65,0.05
2016,403.08,0.06
2017,405.22,0.07
2018,407.58,0.07
2019,410.04,0.07
2020,412.51,0.06
2021,414.81,0.07
2022,417.24,0.07
2023,419.55,0.15
