Date,Decimal Date,Average,Interpolated,Trend,Number of Days
1958-03,1958.2027,315.71,314.44,-01,-9.99,-0.99
1958-04,1958.2877,317.45,315.16,-01,-9.99,-0.99
1958-05,1958.3699,317.51,314.69,-01,-9.99,-0.99
1958-06,1958.4548,317.27,315.15,-01,-9.99,-0.99
1958-07,1958.5370,315.87,315.20,-01,-9.99,-0.99
1958-08,1958.6219,314.93,316.21,-01,-9.99,-0.99
1958-09,1958.7068,313.21,316.11,-01,-9.99,-0.99
1958-10,1958.7890,312.42,315.41,-01,-9.99,-0.99
1958-11,1958.8740,313.33,315.21,-01,-9.99,-0.99
1958-12,1958.9562,314.67,315.43,-01,-9.99,-0.99
1959-01,1959.0411,315.58,315.52,-01,-9.99,-0.99
1959-02,1959.1260,316.49,315.84,-01,-9.99,-0.99
1959-03,1959.2027,316.65,315.37,-01,-9.99,-0.99
1959-04,1959.2877,317.72,315.42,-01,-9.99,-0.99
1959-05,1959.3699,318.29,315.46,-01,-9.99,-0.99
1959-06,1959.4548,318.15,316.00,-01,-9.99,-0.99
1959-07,1959.5370,316.54,315.87,-01,-9.99,-0.99
1959-08,1959.6219,314.80,316.09,-01,-9.99,-0.99
1959-09,1959.7068,313.84,316.75,-01,-9.99,-0.99
1959-10,1959.7890,313.33,316.34,-01,-9.99,-0.99
1959-11,1959.8740,314.81,316.69,-01,-9.99,-0.99
1959-12,1959.9562,315.58,316.35,-01,-9.99,-0.99
1960-01,1960.0410,316.43,316.38,-01,-9.99,-0.99
1960-02,1960.1257,316.98,316.33,-01,-9.99,-0.99
1960-03,1960.2049,317.58,316.27,-01,-9.99,-0.99
1960-04,1960.2896,319.03,316.70,-01,-9.99,-0.99
1960-05,1960.3716,320.03,317.19,-01,-9.99,-0.99
1960-06,1960.4563,319.58,317.45,-01,-9.99,-0.99
1960-07,1960.5383,318.18,317.54,-01,-9.99,-0.99
1960-08,1960.6230,315.90,317.22,-01,-9.99,-0.99
1960-09,1960.7077,314.17,317.10,-01,-9.99,-0.99
1960-10,1960.7896,313.83,316.85,-01,-9.99,-0.99
1960-11,1960.8743,315.00,316.89,-01,-9.99,-0.99
1960-12,1960.9563,316.19,316.96,-01,-9.99,-0.99
1961-01,1961.0411,316.89,316.84,-01,-9.99,-0.99
1961-02,1961.1260,317.70,317.05,-01,-9.99,-0.99
1961-03,1961.2027,318.54,317.25,-01,-9.99,-0.99
1961-04,1961.2877,319.48,317.16,-01,-9.99,-0.99
1961-05,1961.3699,320.58,317.73,-01,-9.99,-0.99
1961-06,1961.4548,319.77,317.61,-01,-9.99,-0.99
1961-07,1961.5370,318.56,317.89,-01,-9.99,-0.99
1961-08,1961.6219,316.79,318.09,-01,-9.99,-0.99
1961-09,1961.7068,314.99,317.92,-01,-9.99,-0.99
1961-10,1961.7890,315.31,318.34,-01,-9.99,-0.99
1961-11,1961.8740,316.10,318.00,-01,-9.99,-0.99
1961-12,1961.9562,317.01,317.78,-01,-9.99,-0.99
1962-01,1962.0411,317.94,317.89,-01,-9.99,-0.99
1962-02,1962.1260,318.55,317.89,-01,-9.99,-0.99
1962-03,1962.2027,319.68,318.39,-01,-9.99,-0.99
1962-04,1962.2877,320.57,318.24,-01,-9.99,-0.99
1962-05,1962.3699,321.02,318.16,-01,-9.99,-0.99
1962-06,1962.4548,320.62,318.45,-01,-9.99,-0.99
1962-07,1962.5370,319.61,318.94,-01,-9.99,-0.99
1962-08,1962.6219,317.40,318.71,-01,-9.99,-0.99
1962-09,1962.7068,316.24,319.18,-01,-9.99,-0.99
1962-10,1962.7890,315.42,318.46,-01,-9.99,-0.99
1962-11,1962.8740,316.69,318.59,-01,-9.99,-0.99
1962-12,1962.9562,317.70,318.47,-01,-9.99,-0.99
1963-01,1963.0411,318.74,318.69,-01,-9.99,-0.99
1963-02,1963.1260,319.07,318.41,-01,-9.99,-0.99
1963-03,1963.2027,319.86,318.57,-01,-9.99,-0.99
1963-04,1963.2877,321.38,319.05,-01,-9.99,-0.99
1963-05,1963.3699,322.24,319.38,-01,-9.99,-0.99
1963-06,1963.4548,321.49,319.31,-01,-9.99,-0.99
1963-07,1963.5370,319.74,319.07,-01,-9.99,-0.99
1963-08,1963.6219,317.77,319.07,-01,-9.99,-0.99
1963-09,1963.7068,316.21,319.16,-01,-9.99,-0.99
1963-10,1963.7890,315.99,319.03,-01,-9.99,-0.99
1963-11,1963.8740,317.07,318.98,-01,-9.99,-0.99
1963-12,1963.9562,318.35,319.13,-01,-9.99,-0.99
1964-01,1964.0410,319.57,319.52,-01,-9.99,-0.99
1964-02,1964.1257,320.04,319.37,-01,-9.99,-0.99
1964-03,1964.2049,320.75,319.41,-01,-9.99,-0.99
1964-04,1964.2896,321.84,319.46,-01,-9.99,-0.99
1964-05,1964.3716,322.25,319.37,-01,-9.99,-0.99
1964-06,1964.4563,321.89,319.73,-01,-9.99,-0.99
1964-07,1964.5383,320.44,319.79,-01,-9.99,-0.99
1964-08,1964.6230,318.69,320.03,-01,-9.99,-0.99
1964-09,1964.7077,316.71,319.67,-01,-9.99,-0.99
1964-10,1964.7896,316.87,319.93,-01,-9.99,-0.99
1964-11,1964.8743,317.68,319.59,-01,-9.99,-0.99
1964-12,1964.9563,318.71,319.49,-01,-9.99,-0.99
1965-01,1965.0411,319.44,319.38,-01,-9.99,-0.99
1965-02,1965.1260,320.44,319.79,-01,-9.99,-0.99
1965-03,1965.2027,320.89,319.59,-01,-9.99,-0.99
